model,status,match,differences,n_params,theta_keys
ddm_mic2_leak_weibull_no_bias_no_lowdim_noise,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; metadata.model: ddm_mic2_leak_weibull_no_bias_no_lowdim_noise vs ddm_mic2_leak_weibull_no_bias",8,"vh, vl1, vl2, a, d, t, alpha, beta"
ddm_mic2_multinoise_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",6,"vh, vl1, vl2, a, d, t"
ddm_mic2_multinoise_conflict_gamma_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",10,"vh, vl1, vl2, d, t, a, theta, scale, alphaGamma, scaleGamma"
ddm_mic2_multinoise_angle_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",7,"vh, vl1, vl2, a, d, t, theta"
ddm_mic2_multinoise_weibull_no_bias,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",8,"vh, vl1, vl2, a, d, t, alpha, beta"
full_ddm,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",7,"v, a, z, t, sz, sv, st"
full_ddm_rv,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra; rts: values differ (max diff: 3.802550e+00); choices: values differ (max diff: 2.000000e+00)",7,"v, a, z, t, sz, sv, st"
levy,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",5,"v, a, z, alpha, t"
levy_angle,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",6,"v, a, z, alpha, t, theta"
angle,FAIL,False,"Key mismatch: func has {'choice_p_no_omission', 'binned_256', 'binned_128', 'omission_p', 'nogo_p', 'choice_p', 'go_p'} extra, class has set() extra",5,"v, a, z, t, theta"
